"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Mobile-cellular subscriptions per 100 inhabitants","Cayman Islands","25.29","","","38.69","","","41.90","","","45.12","","","70.56","","","164.32","","","182.42","","","194.14","","","182.62","","","196.48","","","177.46","","","167.21","","","167.63","","","163.58","","","149.65","","","151.07","","","152.88","","","152.50","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Central African Rep.","0.14","","","0.30","","","0.33","","","1.03","","","1.52","","","2.48","","","2.67","","ITU estimate.","8.10","","ITU estimate.","13.34","","ITU estimate.","19.91","","","22.32","","","22.46","","","25.77","","","30.58","","","25.89","","","27.65","","","27.51","","","25.57","","","27.41","","","33.62","",""
"Mobile-cellular subscriptions per 100 inhabitants","Chad","0.07","","","0.25","","","0.38","","","0.69","","","1.26","","","2.08","","","4.46","","","8.49","","ITU estimate.","14.31","","","19.73","","","24.06","","","29.66","","","34.43","","","34.50","","","38.43","","","38.73","","","38.36","","","42.41","","","45.12","","","48.06","",""
"Mobile-cellular subscriptions per 100 inhabitants","Chile","22.17","","","32.87","","","39.81","","","45.86","","","57.83","","","65.31","","","76.13","","","84.42","","","88.56","","","97.42","","","116.35","","","129.49","","","137.59","","","134.66","","","133.35","","","129.14","","","127.97","","","124.59","","","134.44","","","132.18","",""
"Mobile-cellular subscriptions per 100 inhabitants","China","6.61","","","11.15","","","15.76","","","20.52","","","25.31","","","29.56","","","34.45","","","40.66","","","47.37","","","54.90","","","62.76","","","71.65","","","80.35","","","88.31","","","91.90","","","91.84","","","96.53","","","103.44","","","115.53","","","121.79","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cocos Keeling Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Colombia","5.69","","","8.11","","","11.25","","","14.91","","","24.72","","","51.23","","","68.89","","","77.60","","","93.47","","","94.21","","","98.35","","","101.18","","","106.49","","","108.17","","","117.80","","","120.64","","","121.82","","","127.21","","","129.91","","","131.67","",""
"Mobile-cellular subscriptions per 100 inhabitants","Comoros","0.00","","","0.00","","","0.00","","","0.34","","","1.40","","","2.54","","","5.89","","","9.68","","","13.96","","","18.21","","","23.96","","","30.63","","","39.17","","","46.86","","","50.44","","","54.64","","","57.11","","","57.61","","","59.94","","","67.60","",""
"Mobile-cellular subscriptions per 100 inhabitants","Congo (Rep. of the)","2.24","","","4.66","","","6.70","","","9.69","","","10.93","","","15.41","","","24.50","","","33.22","","ITU estimate.","45.05","","ITU estimate.","71.12","","","87.01","","","88.39","","","94.97","","","100.80","","","104.08","","","107.41","","","108.89","","","98.93","","","95.34","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cook Islands","3.08","","","5.23","","","8.20","","","18.19","","","19.31","","","20.99","","","28.29","","","34.82","","","35.47","","","37.37","","","42.42","","","52.44","","","61.63","","","64.49","","","","","","","","","79.05","","","83.05","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Costa Rica","5.34","","","8.10","","","12.25","","","18.69","","","21.85","","","25.70","","","33.22","","","34.24","","","42.27","","","43.14","","","68.34","","","89.64","","","114.72","","","149.98","","","146.40","","","155.44","","","170.04","","","178.59","","","169.93","","","169.39","",""
"Mobile-cellular subscriptions per 100 inhabitants","Croatia","23.33","","","39.81","","","52.61","","","57.81","","","64.68","","","83.36","","","100.56","","","115.41","","","104.64","","ITU estimate.","107.69","","ITU estimate.","113.87","","ITU estimate.","118.60","","","115.72","","","110.39","","","104.84","","","104.32","","","104.89","","","103.17","","","105.58","","","106.64","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cuba","0.06","","","0.08","","","0.16","","","0.31","","","0.67","","","1.20","","","1.36","","","1.76","","","2.95","","","5.53","","","8.93","","","11.70","","","14.94","","","17.69","","","22.38","","","29.45","","","35.18","","","40.69","","","47.39","","","53.32","",""
"Mobile-cellular subscriptions per 100 inhabitants","Curacao","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.34","","","136.75","","","135.44","","","132.22","","","129.79","","","121.55","","","119.17","","","115.89","","","115.55","","","114.52","","","112.73","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cyprus","31.30","","","44.56","","","58.56","","","76.32","","","89.80","","","105.18","","","114.50","","","127.29","","","127.59","","","119.34","","","123.13","","","126.56","","","128.30","","","128.16","","","131.15","","","130.98","","","132.64","","","136.17","","","138.90","","","143.85","",""
"Mobile-cellular subscriptions per 100 inhabitants","Czech Republic","42.24","","","67.64","","","83.98","","","94.82","","","105.30","","","114.80","","","120.46","","","127.72","","","132.18","","","124.55","","","122.75","","","124.62","","","127.79","","","129.59","","","131.37","","","117.48","","","117.57","","","118.75","","","119.11","","","122.57","",""
"Mobile-cellular subscriptions per 100 inhabitants","Côte d'Ivoire","2.87","","","4.32","","","5.96","","","7.28","","","9.32","","","12.80","","","21.68","","","38.95","","","53.30","","","65.73","","","75.97","","","82.48","","","84.00","","","87.79","","","97.60","","","109.39","","","115.23","","","129.91","","","134.86","","","145.34","",""
"Mobile-cellular subscriptions per 100 inhabitants","Dem. People's Rep. of Korea","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.28","","","1.76","","","4.05","","","6.85","","","9.71","","","11.17","","","12.87","","","14.25","","","14.98","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Dem. Rep. of the Congo","0.03","","","0.31","","","1.12","","","2.42","","","3.75","","","5.01","","","7.80","","","11.28","","","16.45","","","15.15","","","18.31","","","23.44","","","29.11","","","39.56","","","50.30","","","49.52","","","36.67","","","43.46","","","43.38","","","42.77","",""
"Mobile-cellular subscriptions per 100 inhabitants","Denmark","62.97","","","73.91","","","83.34","","","88.49","","","95.63","","","100.51","","","107.05","","","115.32","","","119.27","","","123.66","","","115.59","","","128.48","","","129.97","","","124.71","","","126.41","","","124.44","","","122.30","","","124.57","","","125.45","","","125.50","",""
"Mobile-cellular subscriptions per 100 inhabitants","Djibouti","0.03","","","0.41","","","2.01","","","3.03","","","4.47","","","5.62","","","5.64","","","8.63","","","13.82","","","15.56","","","19.71","","","22.61","","","24.47","","","27.64","","","31.94","","","34.39","","","37.16","","","39.51","","","41.20","","","42.51","",""
"Mobile-cellular subscriptions per 100 inhabitants","Dominica","1.72","","","11.07","","","17.43","","","33.93","","","59.44","","","73.67","","","101.11","","","125.72","","","128.48","","","139.02","","","148.94","","","153.60","","","154.02","","","131.77","","","103.94","","","108.53","","","110.01","","","105.28","","","105.79","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Dominican Rep.","8.33","","","14.77","","","19.49","","","23.64","","","28.24","","","39.83","","","49.96","","","59.03","","","76.24","","","90.11","","","91.72","","","89.38","","","89.96","","","91.56","","","81.69","","","85.56","","","83.75","","","83.41","","","84.10","","","83.32","",""
"Mobile-cellular subscriptions per 100 inhabitants","Ecuador","3.80","","","6.65","","","11.88","","","17.94","","","26.07","","","45.18","","","60.35","","","69.53","","","80.38","","","89.63","","","98.47","","","100.58","","","106.35","","","105.85","","","104.10","","","79.84","","","84.18","","","87.29","","","92.32","","","91.25","",""
"Mobile-cellular subscriptions per 100 inhabitants","Egypt","1.98","","","3.98","","","6.29","","","7.96","","","10.30","","","18.05","","","23.42","","","38.47","","","51.84","","","68.22","","","85.38","","","98.69","","","112.01","","","112.78","","","105.41","","","101.70","","","103.54","","","106.76","","","95.29","","","94.97","",""
"Mobile-cellular subscriptions per 100 inhabitants","El Salvador","12.63","","","14.47","","","14.91","","","19.18","","","30.42","","","39.85","","","63.36","","","100.52","","","113.36","","","122.87","","","124.52","","","133.90","","","138.65","","","143.50","","","146.04","","","147.57","","","151.62","","","148.37","","","146.92","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Equatorial Guinea","0.82","","","2.37","","","4.86","","","6.04","","","8.63","","","12.93","","","15.30","","","18.26","","","20.91","","","22.18","","","42.31","","","48.52","","","48.59","","","47.45","","","46.03","","","45.64","","","47.37","","","44.86","","","45.17","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Eritrea","0.00","","","0.00","","","0.00","","","0.00","","","0.74","","","1.43","","","2.12","","","2.81","","","3.55","","","4.52","","","5.84","","","7.53","","","9.39","","","10.81","","","12.60","","","14.21","","","14.99","","","20.36","","","","","","","",""
