ShortName,2000-2005,2006-2010,2011-2015,2016-2019
Norway,71.10833333,89.104,95.26073728,97.03686683
Oman,6.164305919,21.52150333,63.64,84.08777314
Pakistan,4.286757145,7.16,11.172,15.52049822
Palau,22.93859976,0,0,0
Palestine,5.097462411,26.7148,48.43483848,65.35024056
Panama,9.158928344,30.52791323,44.63146404,59.84614425
Papua New Guinea,1.276586283,1.517009324,5,10.40536753
Paraguay,2.85213042,14.42841478,36.74396411,61.99776379
Peru,10.40369046,28.528,38.89252018,52.72924705
Philippines,4.056245275,10.38611727,39.78682472,52.8604574
Poland,22.42434974,53.52,64.34123668,76.81592795
Portugal,25.05460071,45.16,62.18169117,73.55553178
Puerto Rico,18.14835684,35.62048364,62.366577,71.49435486
Qatar,14.32292579,46.47482254,81.59496529,97.95479117
Réunion,21.29697277,33.24908332,0,0
Romania,10.02206439,32.382,49.09952933,66.89749679
Russian Federation,7.572465405,28.30265549,64.27784825,78.15161415
Rwanda,0.323350411,5.578846795,10.52477086,20.88381631
Saint Kitts and Nevis,19.40623007,49.98,67.1,78.76393286
Saint Lucia,15.30990864,29.18,37.41018609,48.77216142
Saint Vincent and the Grenadines,6.153526693,22.74,36.9464133,20.68943522
Samoa,2.288146668,5.450154485,17.16589995,31.51133472
San Marino,50.13422744,52.32587037,49.6,60.18230126
Sao Tome and Principe,9.295713514,15.8825006,22.99272,28.9656146
Saudi Arabia,7.369600312,32.89191087,59.26597863,89.52240294
Senegal,2.278060096,7.02434773,15.68,27.65394586
Serbia,24.9,34.99,54.22849401,72.04128992
Seychelles,16.16546911,38.69299279,49.23086486,57.64225969
Sierra Leone,0.177215037,0.311500833,3.960344117,12.50505741
Singapore,50.25139474,67.58,76.38884994,86.50485612
Slovakia,35.53585417,65.928,77.32945387,81.35102694
Slovenia,32.09997474,60.55,70.61084586,79.31056625
Solomon Islands,0.58355979,3.129269598,7.999572997,11.46256567
Somalia,0.453605663,1.131437476,1.50334,1.942024349
South Africa,6.887809071,11.62050297,44.47782314,55.08369723
South Sudan,0,0,4.615374325,7.328578479
Spain,30.66394725,58.656,72.68292624,85.49736987
Sri Lanka,1.198073597,6.599513226,18.61708,25.25667395
St. Helena,11.15120993,19.72530577,35.3,0
Sudan,0.537920315,12.68,22.482,22.48514784
